CustomerID,CohortMonth
12346,2011-01
12347,2010-12
12348,2010-12
12349,2011-11
12350,2011-02
12352,2011-02
12353,2011-05
12354,2011-04
12355,2011-05
12356,2011-01
12357,2011-11
12358,2011-07
12359,2011-01
12360,2011-05
12361,2011-02
12362,2011-02
12363,2011-04
12364,2011-08
12365,2011-02
12367,2011-12
12370,2010-12
12371,2011-10
12372,2011-02
12373,2011-02
12374,2011-11
12375,2011-09
12377,2010-12
12378,2011-08
12379,2011-06
12380,2011-06
12381,2011-08
12383,2010-12
12384,2011-08
12386,2010-12
12388,2011-01
12390,2011-09
12391,2011-11
12393,2011-01
12394,2011-05
12395,2010-12
12397,2011-07
12398,2011-10
12399,2011-03
12401,2011-02
12402,2011-01
12403,2011-10
12405,2011-07
12406,2011-06
12407,2011-03
12408,2011-03
12409,2011-06
12410,2011-02
12412,2011-06
12413,2011-01
12414,2011-02
12415,2011-01
12417,2010-12
12418,2011-08
12420,2011-10
12421,2011-01
12422,2011-01
12423,2010-12
12424,2011-06
12425,2011-09
12426,2011-05
12427,2010-12
12428,2011-03
12429,2010-12
12430,2011-10
12431,2010-12
12432,2011-06
12433,2010-12
12434,2011-03
12435,2011-03
12436,2011-09
12437,2011-01
12438,2011-07
12441,2010-12
12442,2011-12
12444,2011-06
12445,2011-11
12446,2011-10
12447,2011-04
12448,2011-10
12449,2011-06
12450,2011-06
12451,2011-01
12452,2011-11
12453,2011-07
12454,2011-10
12455,2011-02
12456,2011-03
12457,2011-04
12458,2011-02
12461,2011-07
12462,2011-02
12463,2011-04
12464,2011-02
12465,2011-06
12468,2011-01
12471,2010-12
12472,2010-12
12473,2011-06
12474,2011-01
12475,2011-10
12476,2010-12
12477,2011-02
12478,2011-12
12479,2011-11
12480,2011-01
12481,2010-12
12483,2011-01
12484,2011-01
12488,2011-09
12489,2011-01
12490,2011-01
12491,2011-11
12492,2011-08
12493,2011-05
12494,2010-12
12497,2011-09
12498,2011-10
12500,2011-01
12501,2011-01
12502,2011-02
12504,2011-11
12506,2011-04
12507,2011-02
12508,2011-11
12509,2011-02
12510,2011-01
12512,2011-10
12513,2011-08
12514,2011-03
12515,2010-12
12516,2011-06
12517,2011-06
12518,2011-08
12519,2011-10
12520,2011-03
12521,2011-07
12522,2011-10
12523,2011-01
12524,2011-01
12526,2011-09
12527,2011-01
12528,2011-01
12530,2011-01
12531,2011-11
12532,2011-11
12534,2011-08
12535,2011-06
12536,2011-10
12538,2011-11
12539,2011-01
12540,2010-12
12541,2011-03
12544,2011-11
12545,2011-03
12546,2011-09
12547,2011-03
12548,2011-06
12550,2011-09
12551,2010-12
12552,2011-10
12553,2011-01
12556,2011-07
12557,2010-12
12558,2011-12
12559,2011-01
12560,2011-07
12561,2011-02
12562,2011-05
12564,2011-03
12565,2011-02
12566,2011-09
12567,2010-12
12569,2011-04
12571,2011-08
12572,2011-10
12573,2011-04
12574,2011-01
12576,2011-02
12577,2010-12
12578,2011-01
12579,2011-09
12580,2011-04
12581,2011-10
12582,2011-02
12583,2010-12
12584,2011-03
12585,2010-12
12586,2011-11
12587,2011-12
12588,2011-10
12589,2011-07
12590,2011-05
12591,2011-01
12592,2011-05
12593,2011-05
12594,2011-01
12596,2011-04
12597,2011-03
12598,2011-02
12599,2011-02
12600,2010-12
12601,2011-01
12602,2011-10
12603,2011-11
12604,2011-03
12607,2011-10
12609,2011-01
12610,2011-08
12611,2011-10
12612,2011-09
12613,2011-03
12614,2011-03
12615,2011-06
12616,2011-02
12617,2011-11
12618,2011-11
12619,2011-03
12620,2011-05
12621,2010-12
12622,2011-04
12623,2011-03
12624,2011-06
12625,2011-01
12626,2011-01
12627,2011-07
12628,2011-10
12630,2011-10
12631,2011-10
12633,2011-02
12635,2011-07
12637,2011-01
12638,2011-11
12639,2011-04
12640,2011-09
12641,2011-08
12642,2011-08
12643,2011-01
12644,2011-08
12645,2011-01
12646,2011-10
12647,2010-12
12648,2011-07
12649,2011-05
12650,2011-12
12651,2011-01
12652,2011-01
12653,2011-02
12654,2011-02
12656,2011-04
12657,2011-09
12658,2011-11
12659,2011-11
12660,2011-11
12662,2010-12
12664,2011-01
12665,2011-01
12667,2011-10
12668,2010-12
12669,2011-03
12670,2011-04
12672,2011-01
12673,2011-01
12674,2011-05
12676,2011-02
12678,2010-12
12679,2011-03
12680,2011-08
12681,2010-12
12682,2010-12
12683,2010-12
12684,2011-05
12685,2011-09
12686,2010-12
12688,2011-08
12689,2011-08
12690,2011-05
12691,2010-12
12693,2011-01
12694,2011-06
12695,2011-05
12697,2011-06
12700,2011-05
12701,2011-04
12702,2011-11
12703,2011-09
12704,2011-06
12705,2010-12
12707,2011-02
12708,2010-12
12709,2010-12
12710,2011-05
12712,2010-12
12713,2011-12
12714,2011-02
12715,2011-08
12716,2011-07
12717,2011-04
12718,2011-09
12719,2011-10
12720,2010-12
12721,2010-12
12722,2011-07
12723,2011-10
12724,2011-01
12725,2010-12
12726,2010-12
12727,2011-01
12728,2011-01
12729,2011-08
12731,2010-12
12732,2011-06
12733,2011-04
12734,2010-12
12735,2011-01
12736,2011-01
12738,2010-12
12739,2011-09
12740,2011-10
12743,2011-07
12744,2011-01
12747,2010-12
12748,2010-12
12749,2011-05
12750,2011-08
12752,2011-09
12753,2010-12
12754,2011-02
12755,2010-12
12756,2011-09
12757,2011-05
12758,2011-03
12759,2011-03
12762,2011-11
12763,2010-12
12764,2011-01
12766,2010-12
12769,2011-04
12770,2011-05
12772,2011-10
12775,2011-02
12778,2011-01
12779,2010-12
12781,2011-02
12782,2010-12
12783,2011-09
12784,2011-11
12785,2010-12
12787,2011-05
12789,2011-10
12790,2011-05
12791,2010-12
12792,2011-03
12793,2010-12
12794,2011-09
12795,2011-11
12797,2010-12
12798,2011-06
12802,2011-06
12808,2010-12
12809,2011-06
12811,2011-02
12812,2011-10
12814,2011-08
12815,2011-05
12816,2011-06
12817,2011-03
12818,2011-03
12820,2011-01
12821,2011-05
12822,2011-09
12823,2011-02
12824,2011-10
12826,2010-12
12827,2011-10
12828,2011-08
12829,2010-12
12830,2011-06
12831,2011-03
12832,2011-09
12833,2011-07
12834,2011-03
12836,2011-02
12837,2011-06
12838,2010-12
12839,2010-12
12840,2011-04
12841,2010-12
12842,2011-02
12843,2011-03
12844,2011-08
12845,2011-02
12847,2011-11
12849,2011-03
12851,2011-09
12852,2011-02
12853,2011-01
12854,2011-01
12855,2010-12
12856,2011-10
12857,2011-02
12863,2011-10
12864,2011-07
12865,2011-08
12866,2011-03
12867,2010-12
12868,2010-12
12871,2011-05
12872,2010-12
12873,2011-03
12875,2010-12
12876,2011-05
12877,2010-12
12878,2011-03
12879,2011-09
12881,2011-03
12882,2011-11
12883,2011-09
12884,2011-09
12885,2011-08
12886,2011-05
12888,2011-03
12890,2011-11
12891,2011-02
12893,2011-11
12895,2011-09
12897,2011-02
12901,2011-03
12902,2011-03
12904,2011-06
12906,2011-09
12908,2011-01
12909,2011-03
12910,2011-04
12912,2011-10
12913,2010-12
12915,2010-12
12916,2011-01
12917,2011-08
12919,2011-06
12920,2011-11
12921,2010-12
12922,2011-07
12923,2011-10
12924,2011-01
12925,2011-09
12928,2010-12
12929,2011-02
12930,2011-06
12931,2010-12
12933,2011-03
12935,2011-01
12936,2011-09
12937,2011-03
12938,2011-11
12939,2011-01
12940,2011-09
12942,2010-12
12944,2010-12
12945,2011-02
12947,2010-12
12948,2011-03
12949,2011-04
12950,2011-11
12951,2011-01
12952,2011-09
12953,2011-11
12955,2011-03
12956,2011-02
12957,2011-01
12962,2011-08
12963,2010-12
12965,2011-09
12966,2011-11
12967,2010-12
12968,2011-08
12970,2011-01
12971,2010-12
12974,2011-05
12976,2011-05
12977,2011-07
12980,2010-12
12981,2011-07
12982,2011-04
12984,2011-11
12985,2011-11
12987,2011-05
12988,2011-02
12989,2010-12
12990,2011-02
12991,2011-08
12993,2011-02
12994,2011-03
12995,2011-09
12997,2011-01
12999,2011-04
13000,2010-12
13001,2011-01
13002,2011-01
13003,2011-05
13004,2010-12
13005,2011-04
13006,2011-10
13008,2011-01
13011,2010-12
13012,2011-02
13013,2010-12
13014,2011-03
13015,2011-04
13016,2011-08
13017,2011-12
13018,2011-02
13021,2010-12
13023,2011-08
13026,2011-03
13027,2010-12
13028,2011-10
13029,2010-12
13030,2010-12
13032,2011-09
13033,2010-12
13034,2010-12
13035,2011-03
13037,2011-03
13038,2011-02
13040,2011-11
13043,2011-03
13044,2011-02
13045,2011-09
13046,2011-03
13047,2010-12
13048,2011-01
13049,2011-01
13050,2010-12
13052,2011-05
13055,2011-05
13058,2011-07
13059,2011-04
13060,2011-03
13061,2011-09
13062,2011-06
13064,2011-01
13065,2010-12
13066,2011-11
13067,2011-09
13068,2011-01
13069,2010-12
13070,2011-05
13072,2011-03
13075,2011-08
13077,2010-12
13078,2010-12
13079,2011-07
13080,2011-06
13081,2010-12
13082,2011-01
13083,2011-09
13085,2011-02
13089,2010-12
13090,2010-12
13091,2011-11
13092,2010-12
13093,2010-12
13094,2010-12
13095,2011-09
13097,2010-12
13098,2011-01
13099,2011-09
13101,2011-04
13102,2010-12
13103,2011-10
13104,2010-12
13106,2011-07
13107,2011-01
13108,2010-12
13109,2011-07
13110,2011-02
13113,2010-12
13115,2011-06
13116,2011-07
13117,2010-12
13118,2011-02
13120,2011-04
13121,2011-03
13122,2011-04
13124,2010-12
13126,2010-12
13127,2011-09
13130,2011-09
13131,2011-06
13132,2011-03
13133,2011-02
13134,2011-04
13135,2011-05
13136,2011-05
13137,2011-02
13138,2010-12
13139,2011-03
13140,2010-12
13141,2011-01
13142,2011-11
13144,2011-01
13145,2010-12
13146,2011-11
13147,2011-09
13148,2010-12
13149,2011-02
13151,2011-02
13153,2011-12
13155,2010-12
13157,2011-02
13158,2011-01
13159,2011-08
13160,2011-11
13161,2011-01
13162,2011-01
13165,2010-12
13166,2011-03
13167,2011-07
13168,2011-01
13169,2011-04
13170,2011-11
13171,2011-02
13173,2010-12
13174,2010-12
13176,2011-10
13177,2011-10
13178,2010-12
13182,2011-10
13183,2011-01
13184,2011-02
13185,2011-03
13186,2011-08
13187,2011-01
13188,2011-11
13189,2011-08
13192,2011-05
13193,2011-10
13194,2011-07
13196,2011-03
13198,2010-12
13199,2010-12
13200,2011-08
13203,2011-04
13207,2011-07
13208,2011-02
13209,2010-12
13210,2011-09
13211,2010-12
13212,2011-10
13213,2011-05
13216,2011-03
13217,2011-07
13218,2011-08
13220,2011-04
13221,2010-12
13223,2011-04
13224,2011-07
13225,2010-12
13226,2011-03
13227,2011-05
13228,2011-09
13229,2011-04
13230,2010-12
13232,2011-04
13233,2011-01
13235,2011-05
13236,2011-08
13238,2010-12
13239,2011-03
13240,2010-12
13242,2011-05
13243,2011-05
13244,2011-09
13245,2011-10
13246,2011-01
13247,2011-09
13248,2011-06
13249,2011-03
13253,2011-01
13255,2010-12
