CustomerID,Recency,Frequency,Monetary,TotalQuantity,AverageOrderValue,R_Score,F_Score,M_Score,RFM_Score,Segment,CustomerValue
12346,326,1,77183.6,74215,77183.6,1,1,5,115,Big Spenders,Very High Value
12347,2,7,4310.0,2458,615.7142857142857,5,5,5,555,Champions,High Value
12348,75,4,1797.24,2341,449.31,2,4,4,244,At Risk,High Value
12349,19,1,1757.55,631,1757.55,4,1,4,414,New Customers,High Value
12350,310,1,334.40000000000003,197,334.40000000000003,1,1,2,112,Lost Customers,Medium Value
12352,36,8,2506.04,536,313.255,3,5,5,355,Loyal Customers,High Value
12353,204,1,89.0,20,89.0,1,1,1,111,Lost Customers,Low Value
12354,232,1,1079.4,530,1079.4,1,1,4,114,Big Spenders,High Value
12355,214,1,459.40000000000003,240,459.40000000000003,1,1,2,112,Lost Customers,Medium Value
12356,23,3,2811.43,1591,937.1433333333333,4,3,5,435,Potential Loyalists,High Value
12357,33,1,6207.67,2708,6207.67,4,1,5,415,New Customers,Very High Value
12358,2,2,1168.06,248,584.03,5,2,4,524,Potential Loyalists,High Value
12359,58,4,6310.03,1609,1577.5075,3,4,5,345,Loyal Customers,Very High Value
12360,52,3,2662.06,1165,887.3533333333334,3,3,5,335,Big Spenders,High Value
12361,287,1,189.9,91,189.9,1,1,1,111,Lost Customers,Low Value
12362,3,10,5226.2300000000005,2229,522.623,5,5,5,555,Champions,Very High Value
12363,110,2,552.0,408,276.0,2,2,3,223,Lost Customers,Medium Value
12364,8,4,1313.1,1506,328.275,5,4,4,544,Champions,High Value
12365,291,2,641.38,174,320.69,1,2,3,123,Lost Customers,Medium Value
12367,4,1,168.9,173,168.9,5,1,1,511,New Customers,Low Value
12370,51,4,3541.94,2352,885.485,3,4,5,345,Loyal Customers,High Value
12371,45,2,1887.96,591,943.98,3,2,4,324,Big Spenders,High Value
12372,72,3,1298.04,794,432.68,3,3,4,334,Big Spenders,High Value
12373,311,1,364.6,197,364.6,1,1,2,112,Lost Customers,Medium Value
12374,25,1,742.9300000000001,342,742.9300000000001,4,1,3,413,New Customers,Medium Value
12375,11,2,457.5,178,228.75,5,2,2,522,Potential Loyalists,Medium Value
12377,315,2,1628.1200000000001,944,814.0600000000001,1,2,4,124,Big Spenders,High Value
12378,130,1,4008.62,2529,4008.62,2,1,5,215,Big Spenders,High Value
12379,82,2,852.24,407,426.12,2,2,3,223,Lost Customers,Medium Value
12380,22,4,2724.81,1127,681.2025,4,4,5,445,Champions,High Value
12381,5,5,1845.31,808,369.062,5,4,4,544,Champions,High Value
12383,185,5,1850.56,1532,370.11199999999997,1,4,4,144,At Risk,High Value
12384,29,2,585.27,126,292.635,4,2,3,423,Potential Loyalists,Medium Value
12386,338,2,401.90000000000003,354,200.95000000000002,1,2,2,122,Lost Customers,Medium Value
12388,16,6,2780.6600000000003,1462,463.4433333333334,4,4,5,445,Champions,High Value
12390,80,1,549.84,353,549.84,2,1,3,213,Lost Customers,Medium Value
12391,22,1,439.66,293,439.66,4,1,2,412,New Customers,Medium Value
12393,72,4,1582.6000000000001,816,395.65000000000003,3,4,4,344,Loyal Customers,High Value
12394,64,2,1272.48,819,636.24,3,2,4,324,Big Spenders,High Value
12395,19,12,3018.63,2118,251.5525,4,5,5,455,Champions,High Value
12397,36,2,2409.9,1263,1204.95,3,2,5,325,Big Spenders,High Value
12398,46,1,1635.66,1394,1635.66,3,1,4,314,Big Spenders,High Value
12399,119,4,1108.65,1178,277.1625,2,4,4,244,At Risk,High Value
12401,303,1,84.3,11,84.3,1,1,1,111,Lost Customers,Low Value
12402,323,1,225.60000000000002,94,225.60000000000002,1,1,1,111,Lost Customers,Low Value
12403,50,1,427.70000000000005,96,427.70000000000005,3,1,2,312,Regular Customers,Medium Value
12405,149,1,1710.39,857,1710.39,2,1,4,214,Big Spenders,High Value
12406,22,2,3415.3,1818,1707.65,4,2,5,425,Potential Loyalists,High Value
12407,50,5,1708.12,1416,341.62399999999997,3,4,4,344,Loyal Customers,High Value
12408,33,5,2888.55,1409,577.71,4,4,5,445,Champions,High Value
12409,79,3,11072.67,5551,3690.89,2,3,5,235,Big Spenders,Very High Value
12410,309,2,693.33,211,346.665,1,2,3,123,Lost Customers,Medium Value
12412,75,3,1226.88,829,408.96000000000004,2,3,4,234,Big Spenders,High Value
12413,67,3,758.1,286,252.70000000000002,3,3,3,333,Regular Customers,Medium Value
12414,217,3,562.41,300,187.47,1,3,3,133,At Risk,Medium Value
12415,24,21,124914.53,77374,5948.310952380953,4,5,5,455,Champions,Very High Value
12417,3,9,3649.1,1552,405.4555555555555,5,5,5,555,Champions,High Value
12418,113,1,668.58,407,668.58,2,1,3,213,Lost Customers,Medium Value
12420,64,1,600.39,345,600.39,3,1,3,313,Regular Customers,Medium Value
12421,16,4,807.04,484,201.76,4,4,3,443,Loyal Customers,Medium Value
12422,96,3,803.5600000000001,370,267.85333333333335,2,3,3,233,At Risk,Medium Value
12423,1,8,1859.31,1339,232.41375,5,5,4,554,Champions,High Value
12424,163,2,1760.96,740,880.48,2,2,4,224,Big Spenders,High Value
12425,78,1,777.2,496,777.2,2,1,3,213,Lost Customers,Medium Value
12426,195,1,582.73,258,582.73,1,1,3,113,Lost Customers,Medium Value
12427,22,3,825.8000000000001,533,275.2666666666667,4,3,3,433,Potential Loyalists,Medium Value
12428,26,9,7956.46,3536,884.0511111111111,4,5,5,455,Champions,Very High Value
12429,9,4,3750.4,1557,937.6,5,4,5,545,Champions,High Value
12430,43,1,256.4,117,256.4,3,1,2,312,Regular Customers,Medium Value
12431,36,15,6419.95,2896,427.99666666666667,3,5,5,355,Loyal Customers,Very High Value
12432,43,5,5059.32,1801,1011.8639999999999,3,4,5,345,Loyal Customers,Very High Value
12433,1,7,13375.87,11071,1910.8385714285716,5,5,5,555,Champions,Very High Value
12434,85,2,806.14,394,403.07,2,2,3,223,Lost Customers,Medium Value
12435,80,2,7829.89,2055,3914.945,2,2,5,225,Big Spenders,Very High Value
12436,100,1,509.01,211,509.01,2,1,3,213,Lost Customers,Medium Value
12437,2,18,4951.41,2922,275.0783333333333,5,5,5,555,Champions,High Value
12438,14,2,2906.85,1180,1453.425,4,2,5,425,Potential Loyalists,High Value
12441,367,1,173.55,121,173.55,1,1,1,111,Lost Customers,Low Value
12442,3,1,172.06,182,172.06,5,1,1,511,New Customers,Low Value
12444,21,5,5005.46,1153,1001.092,4,4,5,445,Champions,Very High Value
12445,22,1,133.4,62,133.4,4,1,1,411,New Customers,Low Value
12446,58,1,1002.3100000000001,351,1002.3100000000001,3,1,4,314,Big Spenders,High Value
12447,243,1,476.49,190,476.49,1,1,2,112,Lost Customers,Medium Value
12448,44,1,449.45,243,449.45,3,1,2,312,Regular Customers,Medium Value
12449,22,4,4067.29,1553,1016.8225,4,4,5,445,Champions,High Value
12450,156,2,197.88,128,98.94,2,2,1,221,Lost Customers,Low Value
12451,11,5,9035.52,6575,1807.104,5,4,5,545,Champions,Very High Value
12452,17,2,430.57000000000005,185,215.28500000000003,4,2,2,422,Potential Loyalists,Medium Value
12453,134,1,707.09,473,707.09,2,1,3,213,Lost Customers,Medium Value
12454,56,1,3528.34,1006,3528.34,3,1,5,315,Big Spenders,High Value
12455,73,6,2466.86,2089,411.1433333333334,2,4,5,245,At Risk,High Value
12456,44,3,3181.04,1633,1060.3466666666666,3,3,5,335,Big Spenders,High Value
12457,66,7,2363.23,843,337.6042857142857,3,5,5,355,Loyal Customers,High Value
12458,71,2,947.4,506,473.7,3,2,4,324,Big Spenders,Medium Value
12461,94,2,826.88,287,413.44,2,2,3,223,Lost Customers,Medium Value
12462,19,2,1189.59,536,594.795,4,2,4,424,Potential Loyalists,High Value
12463,53,4,1344.78,776,336.195,3,4,4,344,Loyal Customers,High Value
12464,10,8,1212.05,112,151.50625,5,5,4,554,Champions,High Value
12465,17,2,742.19,479,371.095,4,2,3,423,Potential Loyalists,Medium Value
12468,188,2,729.5400000000001,366,364.77000000000004,1,2,3,123,Lost Customers,Medium Value
12471,2,30,19788.65,8200,659.6216666666667,5,5,5,555,Champions,Very High Value
12472,32,7,6572.11,4148,938.8728571428571,4,5,5,455,Champions,Very High Value
12473,29,5,3928.05,2414,785.61,4,4,5,445,Champions,High Value
12474,17,18,7324.09,4833,406.8938888888889,4,5,5,455,Champions,Very High Value
12475,54,1,723.38,535,723.38,3,1,3,313,Regular Customers,Medium Value
12476,16,11,6816.42,2408,619.6745454545454,4,5,5,455,Champions,Very High Value
12477,23,6,13219.74,3653,2203.29,4,4,5,445,Champions,Very High Value
12478,4,1,680.99,236,680.99,5,1,3,513,New Customers,Medium Value
12479,11,1,527.2,385,527.2,5,1,3,513,New Customers,Medium Value
12480,28,4,3281.63,1707,820.4075,4,4,5,445,Champions,High Value
12481,23,10,5579.82,3294,557.982,4,5,5,455,Champions,Very High Value
12483,17,8,2484.98,1110,310.6225,4,5,5,455,Champions,High Value
12484,33,6,4527.32,2187,754.5533333333333,4,4,5,445,Champions,High Value
12488,10,3,1298.66,529,432.8866666666667,5,3,4,534,Potential Loyalists,High Value
12489,336,1,334.93,105,334.93,1,1,2,112,Lost Customers,Medium Value
12490,5,10,5417.93,3064,541.793,5,5,5,555,Champions,Very High Value
12491,39,1,460.40000000000003,260,460.40000000000003,3,1,2,312,Regular Customers,Medium Value
12492,63,2,263.21000000000004,192,131.60500000000002,3,2,2,322,Regular Customers,Medium Value
12493,166,2,433.74,207,216.87,2,2,2,222,Lost Customers,Medium Value
12494,16,7,1246.1,707,178.0142857142857,4,5,4,454,Champions,High Value
12497,82,1,1043.1,1236,1043.1,2,1,4,214,Big Spenders,High Value
12498,21,3,403.70000000000005,159,134.5666666666667,4,3,2,432,Potential Loyalists,Medium Value
12500,23,11,4257.82,2678,387.07454545454544,4,5,5,455,Champions,High Value
12501,337,1,2169.39,1783,2169.39,1,1,5,115,Big Spenders,High Value
12502,96,5,3723.87,820,744.774,2,4,5,245,At Risk,High Value
12504,18,2,482.04999999999995,90,241.02499999999998,4,2,2,422,Potential Loyalists,Medium Value
12506,233,1,73.5,23,73.5,1,1,1,111,Lost Customers,Low Value
12507,134,3,1304.81,894,434.93666666666667,2,3,4,234,Big Spenders,High Value
12508,26,2,397.88,271,198.94,4,2,2,422,Potential Loyalists,Medium Value
12509,284,1,176.5,55,176.5,1,1,1,111,Lost Customers,Low Value
12510,143,2,982.5699999999999,353,491.28499999999997,2,2,4,224,Big Spenders,Medium Value
12512,66,2,132.18,96,66.09,3,2,1,321,Regular Customers,Low Value
12513,113,1,612.29,462,612.29,2,1,3,213,Lost Customers,Medium Value
12514,267,1,1017.6800000000001,440,1017.6800000000001,1,1,4,114,Big Spenders,High Value
12515,353,1,383.7,131,383.7,1,1,2,112,Lost Customers,Medium Value
12516,78,2,1312.06,875,656.03,2,2,4,224,Big Spenders,High Value
12517,28,5,2481.6,1361,496.32,4,4,5,445,Champions,High Value
12518,1,5,2056.89,1318,411.378,5,4,5,545,Champions,High Value
12519,64,1,330.84000000000003,175,330.84000000000003,3,1,2,312,Regular Customers,Medium Value
12520,79,5,2634.26,1439,526.8520000000001,2,4,5,245,At Risk,High Value
12521,143,1,599.6800000000001,309,599.6800000000001,2,1,3,213,Lost Customers,Medium Value
12522,39,2,192.72,194,96.36,3,2,1,321,Regular Customers,Low Value
12523,19,11,1789.77,865,162.70636363636365,4,5,4,454,Champions,High Value
12524,9,8,4485.72,3699,560.715,5,5,5,555,Champions,High Value
12526,1,3,1316.66,632,438.8866666666667,5,3,4,534,Potential Loyalists,High Value
12527,82,3,348.71000000000004,234,116.23666666666668,2,3,2,232,At Risk,Medium Value
12528,9,6,1933.48,756,322.24666666666667,5,5,4,554,Champions,High Value
12530,60,4,1662.28,913,415.57,3,4,4,344,Loyal Customers,High Value
12531,15,1,125.22,45,125.22,4,1,1,411,New Customers,Low Value
12532,30,1,349.83000000000004,153,349.83000000000004,4,1,2,412,New Customers,Medium Value
12534,131,1,1089.18,651,1089.18,2,1,4,214,Big Spenders,High Value
12535,92,2,716.35,219,358.175,2,2,3,223,Lost Customers,Medium Value
12536,43,3,12601.830000000002,2803,4200.610000000001,3,3,5,335,Big Spenders,Very High Value
12538,29,1,363.95,191,363.95,4,1,2,412,New Customers,Medium Value
12539,22,4,5568.35,2067,1392.0875,4,4,5,445,Champions,Very High Value
12540,20,17,13400.24,6685,788.2494117647059,4,5,5,455,Champions,Very High Value
12541,30,3,981.18,680,327.06,4,3,4,434,Potential Loyalists,Medium Value
12544,36,1,372.7,136,372.7,3,1,2,312,Regular Customers,Medium Value
12545,75,2,1000.39,523,500.195,2,2,4,224,Big Spenders,High Value
12546,47,2,1161.5,633,580.75,3,2,4,324,Big Spenders,High Value
12547,198,2,207.8,134,103.9,1,2,1,121,Lost Customers,Low Value
12548,166,1,95.19999999999999,49,95.19999999999999,2,1,1,211,Lost Customers,Low Value
12550,79,1,964.83,569,964.83,2,1,4,214,Big Spenders,Medium Value
12551,358,1,168.0,100,168.0,1,1,1,111,Lost Customers,Low Value
12552,39,2,437.82,88,218.91,3,2,2,322,Regular Customers,Medium Value
12553,8,10,3692.28,1965,369.228,5,5,5,555,Champions,High Value
12556,50,2,599.56,355,299.78,3,2,3,323,Regular Customers,Medium Value
12557,16,5,11990.960000000001,4384,2398.192,4,4,5,445,Champions,Very High Value
12558,8,1,269.96,196,269.96,5,1,2,512,New Customers,Medium Value
12559,311,2,561.71,283,280.855,1,2,3,123,Lost Customers,Medium Value
12560,5,3,2134.01,1110,711.3366666666667,5,3,5,535,Potential Loyalists,High Value
12561,303,1,238.85,177,238.85,1,1,1,111,Lost Customers,Low Value
12562,8,7,3781.7400000000002,1779,540.2485714285715,5,5,5,555,Champions,High Value
12564,261,1,456.90000000000003,133,456.90000000000003,1,1,2,112,Lost Customers,Medium Value
12565,289,1,145.92000000000002,80,145.92000000000002,1,1,1,111,Lost Customers,Low Value
12566,86,1,351.65,265,351.65,2,1,2,212,Lost Customers,Medium Value
12567,23,10,9401.28,4305,940.128,4,5,5,455,Champions,Very High Value
12569,2,32,4124.6900000000005,1801,128.89656250000002,5,5,5,555,Champions,High Value
12571,40,2,519.61,523,259.805,3,2,3,323,Regular Customers,Medium Value
12572,9,2,1020.4200000000001,452,510.21000000000004,5,2,4,524,Potential Loyalists,High Value
12573,227,1,160.54000000000002,84,160.54000000000002,1,1,1,111,Lost Customers,Low Value
12574,316,1,218.45000000000002,61,218.45000000000002,1,1,1,111,Lost Customers,Low Value
12576,36,5,1315.83,967,263.166,3,4,4,344,Loyal Customers,High Value
12577,35,3,626.6,469,208.86666666666667,3,3,3,333,Regular Customers,Medium Value
12578,21,2,2794.51,1196,1397.255,4,2,5,425,Potential Loyalists,High Value
12579,78,1,440.42,285,440.42,2,1,2,212,Lost Customers,Medium Value
12580,247,1,415.7,238,415.7,1,1,2,112,Lost Customers,Medium Value
12581,40,1,197.71,161,197.71,3,1,1,311,Regular Customers,Low Value
12582,239,2,511.36,300,255.68,1,2,3,123,Lost Customers,Medium Value
12583,3,15,7281.38,5060,485.42533333333336,5,5,5,555,Champions,Very High Value
12584,4,9,2338.15,416,259.7944444444445,5,5,5,555,Champions,High Value
12585,234,2,2040.1000000000001,1279,1020.0500000000001,1,2,4,124,Big Spenders,High Value
12586,17,1,196.94,79,196.94,4,1,1,411,New Customers,Low Value
12587,8,1,144.0,51,144.0,5,1,1,511,New Customers,Low Value
12588,39,1,214.9,53,214.9,3,1,1,311,Regular Customers,Low Value
12589,29,2,646.68,306,323.34,4,2,3,423,Potential Loyalists,Medium Value
12590,211,2,9864.26,4283,4932.13,1,2,5,125,Big Spenders,Very High Value
12591,317,1,452.85,228,452.85,1,1,2,112,Lost Customers,Medium Value
12592,92,2,437.6,290,218.8,2,2,2,222,Lost Customers,Medium Value
12593,109,3,418.09999999999997,206,139.36666666666665,2,3,2,232,At Risk,Medium Value
12594,38,10,3338.2200000000003,1777,333.822,3,5,5,355,Loyal Customers,High Value
12596,51,2,618.27,474,309.135,3,2,3,323,Regular Customers,Medium Value
12597,19,4,3811.2200000000003,2236,952.8050000000001,4,4,5,445,Champions,High Value
12598,10,8,3023.08,1964,377.885,5,5,5,555,Champions,High Value
12599,29,7,1032.58,956,147.51142857142855,4,5,4,454,Champions,High Value
12600,29,10,2599.04,774,259.904,4,5,5,455,Champions,High Value
12601,190,5,577.0600000000001,245,115.412,1,4,3,143,At Risk,Medium Value
12602,59,1,153.12,162,153.12,3,1,1,311,Regular Customers,Low Value
12603,22,1,739.1999999999999,63,739.1999999999999,4,1,3,413,New Customers,Medium Value
12604,79,2,254.18,201,127.09,2,2,2,222,Lost Customers,Medium Value
12607,60,1,1579.51,1228,1579.51,3,1,4,314,Big Spenders,High Value
12609,78,3,1126.85,648,375.6166666666666,2,3,4,234,Big Spenders,High Value
12610,23,5,2099.54,1049,419.908,4,4,5,445,Champions,High Value
12611,52,1,1193.32,846,1193.32,3,1,4,314,Big Spenders,High Value
12612,74,1,704.04,262,704.04,2,1,3,213,Lost Customers,Medium Value
12613,57,5,3344.38,1644,668.876,3,4,5,345,Loyal Customers,High Value
12614,278,1,315.6,76,315.6,1,1,2,112,Lost Customers,Medium Value
12615,2,4,2291.19,1376,572.7975,5,4,5,545,Champions,High Value
12616,95,2,713.3,284,356.65,2,2,3,223,Lost Customers,Medium Value
12617,29,1,352.98,210,352.98,4,1,2,412,New Customers,Medium Value
12618,22,1,177.31,96,177.31,4,1,1,411,New Customers,Low Value
12619,16,9,3641.24,3378,404.5822222222222,4,5,5,455,Champions,High Value
12620,15,3,1339.41,1181,446.47,4,3,4,434,Potential Loyalists,High Value
12621,2,20,13689.67,7440,684.4835,5,5,5,555,Champions,Very High Value
12622,232,1,180.1,69,180.1,1,1,1,111,Lost Customers,Low Value
12623,276,1,305.1,191,305.1,1,1,2,112,Lost Customers,Medium Value
12624,106,2,641.13,355,320.565,2,2,3,223,Lost Customers,Medium Value
12625,212,2,2683.82,1612,1341.91,1,2,5,125,Big Spenders,High Value
12626,23,9,6620.4800000000005,3453,735.6088888888889,4,5,5,455,Champions,Very High Value
12627,11,7,4478.53,2752,639.79,5,5,5,555,Champions,High Value
12628,4,3,786.46,448,262.15333333333336,5,3,3,533,Potential Loyalists,Medium Value
12630,10,2,1270.88,548,635.44,5,2,4,524,Potential Loyalists,High Value
12631,57,1,640.5,236,640.5,3,1,3,313,Regular Customers,Medium Value
12633,59,4,2163.98,1162,540.995,3,4,5,345,Loyal Customers,High Value
12635,90,2,1689.18,1172,844.59,2,2,4,224,Big Spenders,High Value
12637,67,8,6002.9,2994,750.3625,3,5,5,355,Loyal Customers,Very High Value
12638,33,1,671.6899999999999,577,671.6899999999999,4,1,3,413,New Customers,Medium Value
12639,239,1,486.1,201,486.1,1,1,2,112,Lost Customers,Medium Value
12640,24,3,1174.58,311,391.52666666666664,4,3,4,434,Potential Loyalists,High Value
12641,115,1,185.9,72,185.9,2,1,1,211,Lost Customers,Low Value
12642,25,3,1013.26,552,337.75333333333333,4,3,4,434,Potential Loyalists,High Value
12643,128,6,3344.64,1808,557.4399999999999,2,5,5,255,At Risk,High Value
12644,130,1,477.90999999999997,325,477.90999999999997,2,1,2,212,Lost Customers,Medium Value
12645,34,4,1775.18,1084,443.795,3,4,4,344,Loyal Customers,High Value
12646,5,2,1346.97,897,673.485,5,2,4,524,Potential Loyalists,High Value
12647,22,12,3722.82,1431,310.235,4,5,5,455,Champions,High Value
12648,155,1,318.05,160,318.05,2,1,2,212,Lost Customers,Medium Value
12649,107,3,623.51,586,207.83666666666667,2,3,3,233,At Risk,Medium Value
12650,3,1,314.44,254,314.44,5,1,2,512,New Customers,Medium Value
12651,335,1,114.0,78,114.0,1,1,1,111,Lost Customers,Low Value
12652,331,1,919.98,505,919.98,1,1,3,113,Lost Customers,Medium Value
12653,149,2,2209.85,919,1104.925,2,2,5,225,Big Spenders,High Value
12654,11,5,601.98,264,120.396,5,4,3,543,Loyal Customers,Medium Value
12656,17,5,4051.17,1723,810.234,4,4,5,445,Champions,High Value
12657,11,4,1643.18,1044,410.795,5,4,4,544,Champions,High Value
12658,19,1,686.05,320,686.05,4,1,3,413,New Customers,Medium Value
12659,30,1,91.68,105,91.68,4,1,1,411,New Customers,Low Value
12660,11,1,245.10000000000002,127,245.10000000000002,5,1,1,511,New Customers,Low Value
12662,1,11,3849.78,2058,349.98,5,5,5,555,Champions,High Value
12664,8,9,4881.88,1203,542.4311111111111,5,5,5,555,Champions,High Value
12665,325,1,63.0,37,63.0,1,1,1,111,Lost Customers,Low Value
12667,58,1,620.13,395,620.13,3,1,3,313,Regular Customers,Medium Value
12668,12,4,3807.15,1634,951.7875,5,4,5,545,Champions,High Value
12669,151,3,2744.0299999999997,1115,914.6766666666666,2,3,5,235,Big Spenders,High Value
12670,10,5,2996.05,1397,599.21,5,4,5,545,Champions,High Value
12672,330,1,225.9,78,225.9,1,1,1,111,Lost Customers,Low Value
12673,5,2,610.52,351,305.26,5,2,3,523,Potential Loyalists,Medium Value
12674,39,4,1970.6,1133,492.65,3,4,4,344,Loyal Customers,High Value
12676,25,6,1331.39,670,221.89833333333334,4,5,4,454,Champions,High Value
12678,42,12,17628.46,10923,1469.0383333333332,3,5,5,355,Loyal Customers,Very High Value
12679,59,4,1113.02,554,278.255,3,4,4,344,Loyal Customers,High Value
12680,1,4,862.8100000000001,443,215.70250000000001,5,4,3,543,Loyal Customers,Medium Value
12681,15,22,13787.54,7536,626.7063636363637,4,5,5,455,Champions,Very High Value
12682,4,31,12279.82,5555,396.1232258064516,5,5,5,555,Champions,Very High Value
12683,4,15,8476.57,4987,565.1046666666666,5,5,5,555,Champions,Very High Value
12684,8,7,2283.63,1985,326.23285714285714,5,5,5,555,Champions,High Value
12685,28,6,2863.08,1523,477.18,4,5,5,455,Champions,High Value
12686,372,1,89.14,107,89.14,1,1,1,111,Lost Customers,Low Value
12688,114,1,4873.81,3028,4873.81,2,1,5,215,Big Spenders,High Value
12689,26,2,1247.61,628,623.805,4,2,4,424,Potential Loyalists,High Value
12690,206,1,389.01,106,389.01,1,1,2,112,Lost Customers,Medium Value
12691,28,6,1035.8,394,172.63333333333333,4,5,4,454,Champions,High Value
12693,127,4,855.91,255,213.9775,2,4,3,243,At Risk,Medium Value
12694,70,2,869.67,509,434.835,3,2,3,323,Regular Customers,Medium Value
12695,7,4,582.1,220,145.525,5,4,3,543,Loyal Customers,Medium Value
