CustomerID,Recency,Frequency,Revenue,AverageOrderValue,Segment
16180,100,8,10254.18,1281.77,At Risk
13093,276,8,7832.47,979.06,At Risk
12980,158,9,7374.9,819.43,At Risk
16745,87,17,7180.7,422.39,At Risk
13027,114,6,6912.0,1152.0,At Risk
16182,72,4,6617.65,1654.41,At Risk
15939,90,15,6115.01,407.67,At Risk
14101,74,6,5976.79,996.13,At Risk
16553,163,12,5719.82,476.65,At Risk
17850,372,34,5391.21,158.56,At Risk
17061,74,11,5232.23,475.66,At Risk
13505,73,4,4393.63,1098.41,At Risk
14016,162,4,4341.21,1085.3,At Risk
13555,74,4,4098.88,1024.72,At Risk
18073,114,12,3859.82,321.65,At Risk
12502,96,5,3723.87,744.77,At Risk
14364,109,8,3717.35,464.67,At Risk
17819,72,7,3704.87,529.27,At Risk
15379,169,7,3703.29,529.04,At Risk
15581,121,13,3675.77,282.75,At Risk
