Country,Orders,Customers,Revenue,Average_Order_Value
Netherlands,94,9,285446.34,3036.66
Australia,57,9,138453.81,2429.01
Japan,19,8,37416.37,1969.28
Switzerland,51,21,56443.95,1106.74
Sweden,36,8,38367.83,1065.77
Denmark,18,9,18955.34,1053.07
EIRE,260,3,265262.46,1020.24
Norway,36,10,36165.44,1004.6
Cyprus,16,8,13502.85,843.93
Channel Islands,26,9,20440.54,786.17
Spain,90,30,61558.56,683.98
Austria,17,11,10198.68,599.92
Portugal,57,19,33375.84,585.54
Finland,41,12,22546.08,549.9
France,389,87,208934.31,537.11
