Product,Orders,Quantity_Sold,Revenue,Average_Unit_Price
"PAPER CRAFT , LITTLE BIRDIE",1,80995,168469.6,2.08
REGENCY CAKESTAND 3 TIER,1703,12374,142264.75,12.48
WHITE HANGING HEART T-LIGHT HOLDER,1971,36706,100392.1,2.89
JUMBO BAG RED RETROSPOT,1600,46078,85040.54,2.02
MEDIUM CERAMIC TOP STORAGE JAR,195,77916,81416.73,1.22
POSTAGE,1099,3120,77803.96,31.57
PARTY BUNTING,1379,15279,68785.23,4.88
ASSORTED COLOUR BIRD ORNAMENT,1375,35263,56413.03,1.68
Manual,253,6933,53419.93,178.41
RABBIT NIGHT LIGHT,801,27153,51251.24,2.01
CHILLI LIGHTS,519,9646,46265.11,5.43
PAPER CHAIN KIT 50'S CHRISTMAS ,980,15591,42584.13,2.94
PICNIC BASKET WICKER 60 PIECES,2,61,39619.5,649.5
BLACK RECORD COVER FRAME,313,11401,39045.8,3.66
JUMBO BAG PINK POLKADOT,871,20148,37254.36,2.02
DOORMAT KEEP CALM AND COME IN,648,5338,35880.85,7.91
SPOTTY BUNTING,1003,7633,35509.55,4.92
WOOD BLACK BOARD ANT WHITE FINISH,604,5913,34414.71,7.46
SET OF 3 CAKE TINS PANTRY DESIGN ,1146,7010,33298.3,4.95
JAM MAKING SET WITH JARS,878,8140,32616.22,4.18
