Product,Revenue,Revenue_Percentage
DOTCOM POSTAGE,206248.77,1.94
REGENCY CAKESTAND 3 TIER,174156.54,1.64
"PAPER CRAFT , LITTLE BIRDIE",168469.6,1.58
WHITE HANGING HEART T-LIGHT HOLDER,106236.72,1.0
PARTY BUNTING,99445.23,0.93
JUMBO BAG RED RETROSPOT,94159.81,0.88
MEDIUM CERAMIC TOP STORAGE JAR,81700.92,0.77
POSTAGE,78101.88,0.73
Manual,77752.82,0.73
RABBIT NIGHT LIGHT,66870.03,0.63
PAPER CHAIN KIT 50'S CHRISTMAS ,64875.59,0.61
ASSORTED COLOUR BIRD ORNAMENT,58927.62,0.55
CHILLI LIGHTS,54096.36,0.51
SPOTTY BUNTING,42513.48,0.4
JUMBO BAG PINK POLKADOT,42401.01,0.4
BLACK RECORD COVER FRAME,40633.38,0.38
PICNIC BASKET WICKER 60 PIECES,39619.5,0.37
DOORMAT KEEP CALM AND COME IN,38133.64,0.36
SET OF 3 CAKE TINS PANTRY DESIGN ,38108.89,0.36
JAM MAKING SET WITH JARS,37082.13,0.35
